"target","n_rep","sparse_rate","dense_rate","target_rate","winners","case","n","rho","ridge"
"mixed",10,0,1,NA,"normal_gamma:4;ridge:6","p100_k30",50,0.4,5
"dense",10,0.1,0.9,0.9,"hs:1;normal_gamma:4;ridge:5","p100_k50",50,0.4,5
"dense",10,0,1,1,"normal_gamma:2;ridge:8","p100_k70",50,0.4,5
"sparse",10,0.2,0.8,0.2,"hs:2;normal_gamma:6;ridge:2","p200_k10",50,0.4,5
"sparse",10,0,1,0,"normal_gamma:4;ridge:6","p200_k20",50,0.4,5
"mixed",10,0.1,0.9,NA,"hs:1;normal_gamma:4;ridge:5","p200_k40",50,0.4,5
"mixed",10,0.1,0.9,NA,"hs:1;normal_gamma:6;ridge:3","p100_k30",50,0.8,5
"dense",10,0,1,1,"normal_gamma:4;ridge:6","p100_k50",50,0.8,5
"dense",10,0,1,1,"normal_gamma:4;ridge:6","p100_k70",50,0.8,5
"sparse",10,0.4,0.6,0.4,"hs:4;normal_gamma:2;ridge:4","p200_k10",50,0.8,5
"sparse",10,0.1,0.9,0.1,"hs:1;normal_gamma:2;ridge:7","p200_k20",50,0.8,5
"mixed",10,0.2,0.8,NA,"hs:2;normal_gamma:3;ridge:5","p200_k40",50,0.8,5
"mixed",10,0,1,NA,"normal_gamma:5;ridge:5","p100_k30",50,0.4,10
"dense",10,0,1,1,"normal_gamma:2;ridge:8","p100_k50",50,0.4,10
"dense",10,0,1,1,"normal_gamma:5;ridge:5","p100_k70",50,0.4,10
"sparse",10,0,1,0,"normal_gamma:8;ridge:2","p200_k10",50,0.4,10
"sparse",10,0.1,0.9,0.1,"hs:1;normal_gamma:5;ridge:4","p200_k20",50,0.4,10
"mixed",10,0,1,NA,"normal_gamma:5;ridge:5","p200_k40",50,0.4,10
"mixed",10,0,1,NA,"normal_gamma:7;ridge:3","p100_k30",50,0.8,10
"dense",10,0,1,1,"normal_gamma:4;ridge:6","p100_k50",50,0.8,10
"dense",10,0.1,0.9,0.9,"hs:1;normal_gamma:2;ridge:7","p100_k70",50,0.8,10
"sparse",10,0.3,0.7,0.3,"hs:3;normal_gamma:4;ridge:3","p200_k10",50,0.8,10
"sparse",10,0,1,0,"normal_gamma:8;ridge:2","p200_k20",50,0.8,10
"mixed",10,0,1,NA,"normal_gamma:6;ridge:4","p200_k40",50,0.8,10
